feature,selection_frequency,n_folds_selected
sp500_log_return,1.0,4
squared_return,1.0,4
fx_logret_5,1.0,4
log_return,0.75,3
rolling_std_30,0.75,3
lag_return_t-1,0.75,3
fx_logret_1,0.75,3
di_affected_log,0.75,3
di_records,0.75,3
vol_ratio_1_30,0.75,3
lag_return_t-3,0.75,3
di_houses_damaged_log,0.75,3
lag_return_t-5,0.75,3
rolling_std_5,0.5,2
days_to_election,0.5,2
lag_return_t-2,0.5,2
vol_ratio_10_30,0.5,2
fx_vol_30,0.5,2
hz_precip_spread3d,0.5,2
disasters_trailing_365d,0.5,2
di_houses_destroyed_log,0.5,2
vol_ratio_5_30,0.5,2
log_vol_change_1,0.5,2
days_since_last_disaster,0.5,2
garch_cond_vol,0.25,1
rolling_std_10,0.25,1
total_deaths,0.25,1
di_districts_hit,0.25,1
price_to_sma_5,0.25,1
mag_area_km2,0.25,1
inflation_cpi_pct,0.25,1
hz_precip_max3d,0.25,1
damage_to_gdp,0.25,1
population_affected,0.25,1
homeless_available,0.25,1
no_homeless,0.25,1
log_damage_x_flood,0.25,1
price_to_ema_20,0.25,1
price_to_ema_10,0.25,1
rolling_std_20,0.25,1
